seed,phase,pulse,event_file,onset_s,input_events,sensory_spikes,total_spikes,resource_before,resource_after,aBN1,aBN1_latency_ms,aBN1_v_before_mV,aBN1_g_before_mV,aDN1,aDN1_latency_ms,aDN1_v_before_mV,aDN1_g_before_mV,aDN2,aDN2_latency_ms,aDN2_v_before_mV,aDN2_g_before_mV,both_reset_full_event_equivalence,bypass_full_event_equivalence
1701,train,9,s1701_train09.parquet,4.5,2125,2100,2387,0.5059103100605444,0.452193385792201,1,90.80000000000068,-51.99999802788942,5.332143483605153e-26,0,,-52.00000003308134,-4.2291080048914495e-27,0,,-51.99999998650748,1.0836641980119979e-34,,
1701,train,10,s1701_train10.parquet,5.0,2125,2100,2377,0.5043240776171941,0.4511614031635046,1,91.09999999999997,-51.99999805994758,4.296846616197081e-26,0,,-52.00000003328748,-4.1499443449340106e-27,0,,-51.99999998609659,1.221827971427817e-34,,
1701,train,11,s1701_train11.parquet,5.5,2125,2100,2376,0.5033903011199866,0.4505524795245068,1,91.2000000000006,-51.99999827482152,2.787757562082738e-26,0,,-52.000000004876966,-8.053408991318553e-29,0,,-51.99999998588648,1.2973815936534362e-34,,
1701,sham,-1,s1701_sham.parquet,6.0,2125,2100,2374,0.5028393242266948,0.4501923772961782,1,91.30000000000038,-51.99999824619117,3.388834204053942e-26,0,,-52.00000000489741,-8.21575731171711e-29,0,,-51.99999998581573,1.3235904403712834e-34,,
1701,resource_reset,-1,s1701_resource_reset.parquet,6.0,2125,2100,2812,1.0,0.7668307925872346,8,19.700000000000276,-51.99999824619117,3.388834204053942e-26,0,,-52.00000000489741,-8.21575731171711e-29,2,92.60000000000002,-51.99999998581573,1.3235904403712834e-34,,
1701,fast_reset,-1,s1701_fast_reset.parquet,6.0,2125,2100,2374,0.5028393242266948,0.4501923772961782,1,91.30000000000038,-52.0,0.0,0,,-52.0,0.0,0,,-52.0,0.0,,
1701,both_reset,-1,s1701_both_reset.parquet,6.0,2125,2100,2812,1.0,0.7668307925872346,8,19.700000000000276,-52.0,0.0,0,,-52.0,0.0,2,92.60000000000002,-52.0,0.0,True,
1701,trained_bypass,-1,s1701_trained_bypass.parquet,6.0,0,0,66,0.5028393242266948,0.5720898407970442,10,0.1000000000006551,-51.99999824619117,3.388834204053942e-26,2,66.69999999999999,-52.00000000489741,-8.21575731171711e-29,3,44.70000000000063,-51.99999998581573,1.3235904403712834e-34,,True
1702,naive_bypass,-1,s1702_naive_bypass.parquet,0.0,0,0,66,1.0,1.0,10,0.1,-52.0,0.0,2,66.7,-52.0,0.0,3,44.7,-52.0,0.0,,
1702,train,0,s1702_train00.parquet,0.0,2080,2054,2758,1.0,0.7710682253694336,9,19.1,-52.0,0.0,2,60.900000000000006,-52.0,0.0,3,39.6,-52.0,0.0,,
1702,train,1,s1702_train01.parquet,0.5,2080,2054,2536,0.7928539641368881,0.6389445047610139,6,24.700000000000056,-51.99999903939133,6.938659799511961e-26,0,,-52.0,0.0,0,,-51.99999806502766,4.46257714424051e-26,,
1702,train,2,s1702_train02.parquet,1.0,2080,2054,2435,0.6733034779202611,0.5624494605416672,3,57.10000000000015,-51.99999970851654,2.83635682995851e-26,0,,-51.99999838500278,2.17844179383396e-26,0,,-51.99999774771079,3.0743008725232395e-26,,
1702,train,3,s1702_train03.parquet,1.5,2080,2054,2376,0.604087899616281,0.5180233977269394,1,166.00000000000014,-51.99999881403505,4.417073196062354e-26,0,,-51.99999901235691,5.2686765607009355e-27,0,,-51.99999860532049,8.350801990538953e-27,,
1702,train,4,s1702_train04.parquet,2.0,2080,2054,2367,0.5638895356454993,0.4921432625193887,1,162.80000000000027,-51.9999983487843,2.6907700204617404e-26,0,,-51.99999958653175,1.1049369869537489e-29,0,,-51.99999940288538,4.157182314882637e-28,,
1702,train,5,s1702_train05.parquet,2.5,2080,2054,2338,0.5404722209258775,0.4770219328870819,1,187.5,-51.99999819215134,3.128053191021635e-26,0,,-51.99999966252336,-9.820410489505838e-28,0,,-51.9999994911724,2.192050740003353e-28,,
