condition,model,seed,phase,pulse,rest_ms,onset_s,input_events,sensory_spikes,total_spikes,resource_before,resource_after,aBN1,aBN1_latency_ms,aBN1_v_before_mV,aBN1_g_before_mV,aDN1,aDN1_latency_ms,aDN1_v_before_mV,aDN1_g_before_mV,aDN2,aDN2_latency_ms,aDN2_v_before_mV,aDN2_g_before_mV
f200_p400_gap800,std,2703,recovery,-1,1000.0,9.9,5643,5532,6416,0.6143808832002403,0.3862034274547599,5,28.499999999999304,-51.99999999999894,1.2952806669715184e-95,0,,-52.00000000000032,-1.7814393348721466e-96,1,56.00000000000094,-51.99999999999894,2.764376583290217e-110
f200_p400_gap800,std,2703,recovery,-1,5000.0,13.9,5643,5532,7068,0.947812127606452,0.5036948258767435,16,16.199999999999548,-51.99999999999894,1.23516e-319,3,38.7000000000004,-52.00000000000032,-1.23516e-319,6,35.19999999999968,-51.99999999999894,1.23516e-319
f200_p400_gap800,static,2701,naive,0,0.0,0.0,5581,5464,8221,1.0,1.0,27,17.9,-52.0,0.0,11,41.1,-52.0,0.0,13,37.400000000000006,-52.0,0.0
f200_p400_gap800,static,2702,naive,0,0.0,0.0,5562,5462,8230,1.0,1.0,27,14.5,-52.0,0.0,10,47.5,-52.0,0.0,13,31.8,-52.0,0.0
f200_p400_gap800,static,2703,naive,0,0.0,0.0,5643,5532,8308,1.0,1.0,27,15.3,-52.0,0.0,11,34.9,-52.0,0.0,12,31.90000000000001,-52.0,0.0
f150_p400_gap800,std,2701,train,0,0.0,0.0,4180,4116,5348,1.0,0.6105512816063116,12,26.1,-52.0,0.0,2,61.8,-52.0,0.0,3,46.900000000000006,-52.0,0.0
f150_p400_gap800,std,2701,train,1,0.0,1.2000000000000002,4180,4116,4909,0.7255601265917506,0.4929870121460972,5,37.89999999999982,-51.99999999999894,-3.616871360387946e-70,0,,-51.99999999999894,4.3170119903164167e-69,0,,-51.99999999999894,7.289782662618336e-75
f150_p400_gap800,std,2701,train,2,0.0,2.4000000000000004,4180,4116,4810,0.642713986126656,0.4573621533110298,4,41.499999999999645,-51.99999999999894,2.1887331946595765e-69,0,,-52.00000000000032,-1.0242928643893651e-70,0,,-51.99999999999894,4.9158392651084896e-85
f150_p400_gap800,std,2701,train,3,0.0,3.6000000000000005,4180,4116,4779,0.6176095724076734,0.4465251068862391,2,43.09999999999947,-51.99999999999894,1.7877726194679828e-69,0,,-52.00000000000032,-3.953134578462197e-71,0,,-51.99999999999894,5.6676740603424194e-86
f150_p400_gap800,std,2701,train,4,0.0,4.800000000000001,4180,4116,4774,0.6099728348643948,0.4432154813505095,2,43.699999999999406,-51.99999999999894,1.848336823482038e-69,0,,-52.00000000000032,-3.649058550397676e-71,0,,-51.99999999999894,9.490425828312529e-92
f150_p400_gap800,std,2701,train,5,0.0,6.000000000000001,4180,4116,4769,0.6076405811679372,0.4422006605043038,2,44.29999999999978,-51.99999999999894,1.8315448568416504e-69,0,,-52.00000000000032,-4.643764578553607e-71,0,,-51.99999999999894,1.3602906453952191e-91
f150_p400_gap800,std,2701,train,6,0.0,7.200000000000001,4180,4116,4785,0.6069254490044178,0.4418882133947706,2,44.299999999998896,-51.99999999999894,1.2025559397357245e-69,0,,-52.00000000000032,-5.0353402175011836e-71,0,,-51.99999999999894,1.3069528888836805e-91
f150_p400_gap800,std,2701,train,7,0.0,8.4,4180,4116,4785,0.6067052712476625,0.4417916138660166,2,44.29999999999978,-51.99999999999894,2.2898939814781715e-69,0,,-52.00000000000032,-1.6741572288199266e-72,0,,-51.99999999999894,1.3069528888836805e-91
f150_p400_gap800,std,2701,recovery,-1,1000.0,9.9,4180,4116,4830,0.6614294993010307,0.4652726742956258,4,40.599999999999525,-51.99999999999894,1.80120395084398e-95,0,,-52.00000000000032,-1.4659825356762707e-98,0,,-51.99999999999894,1.1444347037845523e-117
f150_p400_gap800,std,2701,recovery,-1,5000.0,13.9,4180,4116,5273,0.9541794653923432,0.5908899601376992,11,28.00000000000047,-51.99999999999894,1.23516e-319,1,62.5,-52.00000000000032,-1.23516e-319,2,48.99999999999949,-51.99999999999894,1.23516e-319
f150_p400_gap800,std,2702,train,0,0.0,0.0,4191,4139,5328,1.0,0.6111876528718061,15,19.700000000000003,-52.0,0.0,2,69.3,-52.0,0.0,3,65.10000000000001,-52.0,0.0
f150_p400_gap800,std,2702,train,1,0.0,1.2000000000000002,4191,4139,4907,0.7260085698431837,0.4937278454622011,7,25.799999999999823,-51.99999999999894,1.309647619506623e-69,0,,-51.99999999999894,2.681305934830952e-69,0,,-51.99999999999894,3.65467895889639e-69
f150_p400_gap800,std,2702,train,2,0.0,2.4000000000000004,4191,4139,4799,0.6432360425409813,0.4580898330724969,5,43.19999999999968,-51.99999999999894,-4.109343968088059e-71,0,,-51.99999999999894,-7.272847914598229e-73,0,,-51.99999999999894,4.789586916244509e-75
f150_p400_gap800,std,2702,train,3,0.0,3.6000000000000005,4191,4139,4770,0.6181223596687089,0.4472308561169123,4,44.599999999999525,-51.99999999999894,3.28846039935428e-69,0,,-51.99999999999894,-1.3014037262498688e-72,0,,-51.99999999999894,2.525241968764275e-75
f150_p400_gap800,std,2702,train,4,0.0,4.800000000000001,4191,4139,4785,0.6104701679415783,0.4439081441852899,4,45.29999999999923,-51.99999999999894,1.6043979990453488e-69,0,,-51.99999999999894,-1.376517688343546e-72,0,,-51.99999999999894,5.187940965540774e-75
f150_p400_gap800,std,2702,train,5,0.0,6.000000000000001,4191,4139,4780,0.6081286924177978,0.4428871971814132,4,45.69999999999919,-51.99999999999894,4.4825030627890096e-69,0,,-51.99999999999894,-3.25690745519186e-73,0,,-51.99999999999894,9.082385581531844e-75
f150_p400_gap800,std,2702,train,6,0.0,7.200000000000001,4191,4139,4764,0.6074092432239319,0.4425722044813419,4,45.79999999999895,-51.99999999999894,4.682326834509598e-70,0,,-51.99999999999894,-8.007900874206182e-72,0,,-51.99999999999894,6.464572516821329e-75
f150_p400_gap800,std,2702,train,7,0.0,8.4,4191,4139,4769,0.6071872716198431,0.4424746231930617,4,45.79999999999984,-51.99999999999894,1.4053440623761671e-69,0,,-51.99999999999894,-3.741883294907913e-72,0,,-51.99999999999894,2.4262258148927647e-75
f150_p400_gap800,std,2702,recovery,-1,1000.0,9.9,4191,4139,4832,0.6618437653987532,0.4659488784043514,5,42.500000000000426,-51.99999999999894,1.0226181887624608e-95,0,,-51.99999999999894,-3.148613644345959e-98,1,115.09999999999998,-51.99999999999894,2.2112308477892406e-101
f150_p400_gap800,std,2702,recovery,-1,5000.0,13.9,4191,4139,5263,0.954235530212014,0.5915317221923146,13,20.30000000000065,-51.99999999999894,1.23516e-319,2,70.19999999999982,-51.99999999999894,-1.23516e-319,2,65.69999999999965,-51.99999999999894,1.23516e-319
f150_p400_gap800,std,2703,train,0,0.0,0.0,4175,4113,5318,1.0,0.6146024217788572,12,24.6,-52.0,0.0,1,59.4,-52.0,0.0,2,51.1,-52.0,0.0
f150_p400_gap800,std,2703,train,1,0.0,1.2000000000000002,4175,4113,4920,0.7284149168211245,0.4973995367748446,5,32.89999999999993,-51.99999999999894,4.3567876595372514e-69,0,,-51.99999999999894,-4.6911880893481126e-70,0,,-51.99999999999894,1.971207454992126e-71
f150_p400_gap800,std,2703,train,2,0.0,2.4000000000000004,4175,4113,4806,0.6458234396781248,0.4615536338878075,4,38.39999999999976,-51.99999999999894,1.0964164881046424e-69,0,,-52.00000000000032,-1.2228535715401835e-70,0,,-51.99999999999894,3.235210334940852e-78
f150_p400_gap800,std,2703,train,3,0.0,3.6000000000000005,4175,4113,4793,0.6205632588484161,0.4505285371453501,2,40.49999999999976,-51.99999999999894,2.065542435880897e-69,0,,-51.99999999999894,-1.6726095627388089e-71,0,,-51.99999999999894,4.65797874516688e-72
