model,seed,interval_ms,phase,pulse,rest_ms,onset_s,input_events,sensory_spikes,total_spikes,resource_before,resource_after,aBN1,aBN1_latency_ms,aBN1_v_before_mV,aBN1_g_before_mV,aDN1,aDN1_latency_ms,aDN1_v_before_mV,aDN1_g_before_mV,aDN2,aDN2_latency_ms,aDN2_v_before_mV,aDN2_g_before_mV
static,1702,500.0,train,8,0.0,4.0,2080,2054,2916,1.0,1.0,10,18.90000000000036,-51.99999766929967,1.2208249914001552e-25,3,60.10000000000026,-52.00000001658747,-2.94880033788572e-28,4,40.39999999999999,-51.999998581026034,1.2902013138609604e-26
static,1702,500.0,train,9,0.0,4.5,2080,2054,2916,1.0,1.0,10,18.90000000000036,-51.99999766929967,1.2208249914001552e-25,3,60.10000000000026,-52.00000001658747,-2.94880033788572e-28,4,40.39999999999999,-51.999998581026034,1.2902013138609604e-26
static,1702,500.0,train,10,0.0,5.0,2080,2054,2916,1.0,1.0,10,18.90000000000036,-51.99999766929967,1.2208249914001552e-25,3,60.10000000000026,-52.00000001658747,-2.94880033788572e-28,4,40.39999999999999,-51.999998581026034,1.2902013138609604e-26
static,1702,500.0,train,11,0.0,5.5,2080,2054,2916,1.0,1.0,10,18.90000000000036,-51.99999766929967,1.2208249914001552e-25,3,60.10000000000026,-52.00000001658747,-2.94880033788572e-28,4,40.39999999999999,-51.999998581026034,1.2902013138609604e-26
static,1702,500.0,recovery,-1,2000.0,7.8,2080,2054,2916,1.0,1.0,10,18.90000000000036,-51.99999999999894,5.5035121035959875e-182,3,60.10000000000026,-52.00000000000032,-1.3293271734247034e-184,4,40.40000000000088,-51.99999999999894,5.81626244296135e-183
static,1702,500.0,recovery,-1,10000.0,15.8,2080,2054,2916,1.0,1.0,10,18.90000000000036,-51.99999999999894,1.23516e-319,3,60.10000000000026,-52.00000000000032,-1.23516e-319,4,40.39999999999999,-51.99999999999894,1.23516e-319
static,1702,2000.0,train,0,0.0,0.0,2080,2054,2916,1.0,1.0,10,18.9,-52.0,0.0,3,60.1,-52.0,0.0,4,40.400000000000006,-52.0,0.0
static,1702,2000.0,train,1,0.0,2.0,2080,2054,2916,1.0,1.0,10,18.89999999999992,-51.99999999999894,6.285051492247625e-156,3,60.10000000000026,-52.00000000000032,-1.5181014555340375e-158,4,40.39999999999999,-51.99999999999894,6.642214690970288e-157
static,1702,2000.0,train,2,0.0,4.0,2080,2054,2916,1.0,1.0,10,18.90000000000036,-51.99999999999894,6.285051492247625e-156,3,60.10000000000026,-52.00000000000032,-1.5181014555340375e-158,4,40.39999999999999,-51.99999999999894,6.642214690970288e-157
static,1702,2000.0,train,3,0.0,6.0,2080,2054,2916,1.0,1.0,10,18.90000000000036,-51.99999999999894,6.285051492247625e-156,3,60.10000000000026,-52.00000000000032,-1.5181014555340375e-158,4,40.39999999999999,-51.99999999999894,6.642214690970288e-157
static,1702,2000.0,train,4,0.0,8.0,2080,2054,2916,1.0,1.0,10,18.90000000000036,-51.99999999999894,6.285051492247625e-156,3,60.10000000000026,-52.00000000000032,-1.5181014555340375e-158,4,40.39999999999999,-51.99999999999894,6.642214690970288e-157
static,1702,2000.0,train,5,0.0,10.0,2080,2054,2916,1.0,1.0,10,18.90000000000036,-51.99999999999894,6.285051492247625e-156,3,60.10000000000026,-52.00000000000032,-1.5181014555340375e-158,4,40.39999999999999,-51.99999999999894,6.642214690970288e-157
static,1702,2000.0,train,6,0.0,12.0,2080,2054,2916,1.0,1.0,10,18.90000000000036,-51.99999999999894,6.285051492247625e-156,3,60.10000000000026,-52.00000000000032,-1.5181014555340375e-158,4,40.39999999999999,-51.99999999999894,6.642214690970288e-157
static,1702,2000.0,train,7,0.0,14.0,2080,2054,2916,1.0,1.0,10,18.90000000000036,-51.99999999999894,6.285051492247625e-156,3,60.10000000000026,-52.00000000000032,-1.5181014555340375e-158,4,40.39999999999999,-51.99999999999894,6.642214690970288e-157
static,1702,2000.0,train,8,0.0,16.0,2080,2054,2916,1.0,1.0,10,18.900000000002137,-51.99999999999894,6.285051492247625e-156,3,60.10000000000204,-52.00000000000032,-1.5181014555340375e-158,4,40.40000000000177,-51.99999999999894,6.642214690970288e-157
static,1702,2000.0,train,9,0.0,18.0,2080,2054,2916,1.0,1.0,10,18.900000000002137,-51.99999999999894,6.285051492247625e-156,3,60.10000000000204,-52.00000000000032,-1.5181014555340375e-158,4,40.40000000000177,-51.99999999999894,6.642214690970288e-157
static,1702,2000.0,train,10,0.0,20.0,2080,2054,2916,1.0,1.0,10,18.900000000002137,-51.99999999999894,6.285051492247625e-156,3,60.10000000000204,-52.00000000000032,-1.5181014555340375e-158,4,40.40000000000177,-51.99999999999894,6.642214690970288e-157
static,1702,2000.0,train,11,0.0,22.0,2080,2054,2916,1.0,1.0,10,18.900000000002137,-51.99999999999894,6.285051492247625e-156,3,60.10000000000204,-52.00000000000032,-1.5181014555340375e-158,4,40.40000000000177,-51.99999999999894,6.642214690970288e-157
static,1702,2000.0,recovery,-1,2000.0,24.3,2080,2054,2916,1.0,1.0,10,18.900000000002137,-51.99999999999894,5.5035121035959875e-182,3,60.10000000000204,-52.00000000000032,-1.3293271734247034e-184,4,40.40000000000177,-51.99999999999894,5.81626244296135e-183
static,1702,2000.0,recovery,-1,10000.0,32.3,2080,2054,2916,1.0,1.0,10,18.900000000002137,-51.99999999999894,1.23516e-319,3,60.10000000000559,-52.00000000000032,-1.23516e-319,4,40.40000000000532,-51.99999999999894,1.23516e-319
static,1703,500.0,train,0,0.0,0.0,2145,2109,3062,1.0,1.0,10,19.0,-52.0,0.0,3,57.4,-52.0,0.0,4,43.2,-52.0,0.0
static,1703,500.0,train,1,0.0,0.5,2145,2109,3062,1.0,1.0,10,19.000000000000018,-51.99999613311475,3.5305601565328467e-25,3,57.400000000000006,-51.99999824066675,6.034485863754262e-26,4,43.20000000000002,-51.999997735696304,8.040257047695028e-26
static,1703,500.0,train,2,0.0,1.0,2145,2109,3062,1.0,1.0,10,19.000000000000128,-51.99999613311475,3.5305601565328467e-25,3,57.40000000000012,-51.99999824066675,6.034485863754262e-26,4,43.20000000000013,-51.999997735696304,8.040257047695028e-26
static,1703,500.0,train,3,0.0,1.5,2145,2109,3062,1.0,1.0,10,19.000000000000128,-51.99999613311475,3.5305601565328467e-25,3,57.40000000000012,-51.99999824066675,6.034485863754262e-26,4,43.20000000000013,-51.999997735696304,8.040257047695028e-26
static,1703,500.0,train,4,0.0,2.0,2145,2109,3062,1.0,1.0,10,19.000000000000128,-51.99999613311475,3.5305601565328467e-25,3,57.39999999999989,-51.99999824066675,6.034485863754262e-26,4,43.20000000000013,-51.999997735696304,8.040257047695028e-26
static,1703,500.0,train,5,0.0,2.5,2145,2109,3062,1.0,1.0,10,19.000000000000128,-51.99999613311475,3.5305601565328467e-25,3,57.40000000000034,-51.99999824066675,6.034485863754262e-26,4,43.20000000000013,-51.999997735696304,8.040257047695028e-26
